name,price,status,shipping,free_returns,items_sold
Philips SHP9600 Wired Over Ear Headphones Comfort Fit Open Back 50 mm DriversOpens in a new window or tab,5999,Open Box,0,True,825
NEW Skullcandy Riff Wireless Bluetooth On-Ear Headphones with Mic BlackOpens in a new window or tab,3995,Brand New,0,True,202
New ListingSennheiser MOMENTUM 4 Wireless Over-Ear Headphones - White + BTD 600 USB DongleOpens in a new window or tab,14500,Pre-Owned,14500,False,
Denon PerL Pro True Wireless Earbuds Adaptive Active Noise Cancelling Black NEWOpens in a new window or tab,17999,Brand New,0,False,191
Technics AZ100 Black NEW True Wireless Earbuds Noise CancellingOpens in a new window or tab,22900,Brand New,0,False,
Baseus Open Ear Clip-On Earbuds Sound by Bose Dolby Audio Adaptive Sound XC1Opens in a new window or tab,7148,Certified - Refurbished,0,True,
JBL Vibe Beam True Wireless Bluetooth Earbuds - BlackOpens in a new window or tab,3250,Brand New,0,False,291
SALE OFF Focal FBATHYSMG Bluetooth® Headphones with Active Noise CancellationOpens in a new window or tab,30000,Brand New,0,False,
Wireless Bluetooth 5.3 Headset TWS Earphones Earbuds Stereo Headphones Ear HookOpens in a new window or tab,1366,Brand New,0,True,2067
Sony WF-1000XM5 Truly Wireless Bluetooth Noise Canceling Headphones - Black/SilvOpens in a new window or tab,13999,Open Box,0,True,
NEW Skullcandy Crusher Evo Wireless Bluetooth Over Ear Headphones Midnight BlueOpens in a new window or tab,8999,Brand New,0,True,
Genuine Sony WH-1000XM5 Wireless Noise Canceling Headphones - BlackOpens in a new window or tab,13856,Pre-Owned,0,True,84
Soundcore Liberty 4 NC True Wireless Earbuds Adaptive Noise Cancelling Hi-ResOpens in a new window or tab,4499,Certified - Refurbished,0,True,2293
JBL Endurance Sprint Wireless Bluetooth In-Ear Headphones Waterproof – NewOpens in a new window or tab,2499,Brand New,0,True,191
Baseus Open Ear Clip-On Headphones Hi-Res LDAC & HiFi4 Earbuds IP67 MC1 ProOpens in a new window or tab,3150,Certified - Refurbished,0,True,
STATUS Between 3ANC Wireless Earbuds (CERTIFIED REFURBISHED)  - ONYXOpens in a new window or tab,9499,Certified - Refurbished,0,True,1581
